Location,Strand,Length,PID,start,end
104073..106001,+,642,15789442,104073,106001
106009..106791,+,260,15789443,106009,106791
106803..107189,-,128,15789444,106803,107189
107233..107562,-,109,15789445,107233,107562
107649..108428,+,259,15789446,107649,108428
108694..109563,+,289,15789447,108694,109563
109649..109831,+,60,15789448,109649,109831
109834..110448,-,204,15789449,109834,110448
110769..112193,+,474,15789450,110769,112193
112247..112699,+,150,15789451,112247,112699
112696..113712,+,338,15789452,112696,113712
113691..115049,-,452,15789453,113691,115049
115898..116149,+,83,15789454,115898,116149
116234..116758,+,174,15789455,116234,116758
116881..117093,+,70,15789456,116881,117093
117313..117579,-,88,15789457,117313,117579
117867..118271,-,134,15789458,117867,118271
118287..118700,-,137,15789459,118287,118700
118615..119052,+,145,15789460,118615,119052
119518..119754,+,78,15789461,119518,119754
119759..120226,-,155,15789462,119759,120226
120254..120364,-,36,15789463,120254,120364
120602..122875,+,757,15789464,120602,122875
122890..123561,-,223,15789465,122890,123561
123558..123839,-,93,15789466,123558,123839
124088..124756,-,222,15789467,124088,124756
125012..126100,-,362,15789468,125012,126100
126179..127576,-,465,15789469,126179,127576
127692..128390,+,232,15789470,127692,128390
128484..129716,+,410,15789471,128484,129716
129737..130693,-,318,15789472,129737,130693
130717..132696,-,659,15789473,130717,132696
132683..135277,+,864,15789474,132683,135277
135504..136793,+,429,15789475,135504,136793
136676..138478,+,600,15789476,136676,138478
138494..141109,-,871,15789477,138494,141109
141181..142200,-,339,15789478,141181,142200
142335..143096,+,253,15789479,142335,143096
143339..143497,+,52,15789480,143339,143497
143498..144202,-,234,15789481,143498,144202
144354..144983,-,209,16554459,144354,144983
145185..145907,+,240,15789483,145185,145907
145879..148470,-,863,15789484,145879,148470
148838..151168,+,776,15789485,148838,151168
151174..151860,+,228,15789486,151174,151860
151875..152615,-,246,15789487,151875,152615
152767..153357,-,196,15789488,152767,153357
153490..154470,-,326,15789489,153490,154470
154694..155596,-,300,15789490,154694,155596
155681..156505,-,274,15789491,155681,156505
156613..157431,+,272,15789492,156613,157431
157481..158308,+,275,15789493,157481,158308
158525..159292,+,255,15789494,158525,159292
159342..160433,+,363,15789495,159342,160433
160464..161201,-,245,15789496,160464,161201
161207..162586,+,459,15789497,161207,162586
162656..164095,+,479,15789498,162656,164095
164151..165113,+,320,15789499,164151,165113
165152..166279,-,375,15789500,165152,166279
166336..166503,-,55,15789501,166336,166503
166681..167121,-,146,15789502,166681,167121
167794..168054,-,86,15789503,167794,168054
168184..169212,-,342,15789504,168184,169212
169721..170389,-,222,15789505,169721,170389
170386..170754,-,122,15789506,170386,170754
170747..171424,-,225,15789507,170747,171424
171924..172646,-,240,15789508,171924,172646
172643..173506,-,287,15789509,172643,173506
173537..173824,-,95,15789510,173537,173824
175115..175471,+,118,15789511,175115,175471
175471..175920,+,149,15789512,175471,175920
175913..176947,+,344,15789513,175913,176947
177093..177296,-,67,15789514,177093,177296
177587..178354,+,255,15789515,177587,178354
178317..179321,+,334,15789516,178317,179321
179707..180366,-,219,15789517,179707,180366
180916..183489,-,857,15789518,180916,183489
183649..183858,-,69,15789519,183649,183858
184345..184965,+,206,15789520,184345,184965
184985..186631,-,548,15789521,184985,186631
187174..187731,+,185,15789522,187174,187731
187731..188303,+,190,15789523,187731,188303
188303..189565,+,420,15789524,188303,189565
190053..191009,-,318,15789525,190053,191009
191310..192380,+,356,15789526,191310,192380
192372..192635,-,87,15789527,192372,192635
192826..193377,+,183,15789528,192826,193377
193384..195258,+,624,15789529,193384,195258
195274..195984,+,236,15789530,195274,195984
196042..196281,-,79,15789531,196042,196281
196288..196665,-,125,15789532,196288,196665
197052..197186,-,44,15789533,197052,197186
197195..197512,-,105,15789534,197195,197512
197630..197848,+,72,15789535,197630,197848
197876..198598,-,240,15789536,197876,198598
198651..199955,-,434,16554460,198651,199955
199955..200293,-,112,16554461,199955,200293
200377..200991,+,204,15789538,200377,200991
201025..201612,+,195,15789539,201025,201612
201609..202517,+,302,15789540,201609,202517
202509..203273,-,254,15789541,202509,203273
203276..205708,-,810,15789542,203276,205708
205790..206539,-,249,15789543,205790,206539
206579..207418,-,279,15789544,206579,207418
207474..208184,-,236,161349986,207474,208184
208286..209257,-,323,15789546,208286,209257
209439..210038,+,199,15789547,209439,210038
210031..210582,+,183,15789548,210031,210582
210639..210989,-,116,15789549,210639,210989
211101..211634,+,177,15789550,211101,211634
211694..211852,+,52,15789551,211694,211852
211896..213011,+,371,15789552,211896,213011
213067..214425,+,452,15789553,213067,214425
214442..215515,-,357,15789554,214442,215515
215499..216068,+,189,15789555,215499,216068
216068..216961,+,297,15789556,216068,216961
216982..218070,+,362,15789557,216982,218070
218415..219332,+,305,15789558,218415,219332
219360..220454,+,364,15789559,219360,220454
220482..220949,+,155,15789560,220482,220949
221005..221610,+,201,15789561,221005,221610
221649..223274,+,541,15789562,221649,223274
223518..224468,-,316,15789563,223518,224468
224467..225588,+,373,15789564,224467,225588
225590..226024,-,144,15789565,225590,226024
226021..226179,-,52,15789566,226021,226179
227135..228829,+,564,15789567,227135,228829
229052..229441,+,129,15789568,229052,229441
229443..230597,+,384,15789569,229443,230597
230650..231078,-,142,16554462,230650,231078
231155..231817,-,220,15789571,231155,231817
231863..232645,-,260,15789572,231863,232645
232683..232952,-,89,15789573,232683,232952
233317..233841,+,174,15789574,233317,233841
233894..234811,+,305,15789575,233894,234811
234808..235626,-,272,15789576,234808,235626
235698..236303,-,201,15789577,235698,236303
236318..237037,-,239,15789578,236318,237037
237133..237666,-,177,15789579,237133,237666
237843..239951,+,702,15789580,237843,239951
240007..240528,-,173,15789581,240007,240528
240541..241296,+,251,15789582,240541,241296
241293..242585,+,430,15789583,241293,242585
242582..243412,+,276,16554463,242582,243412
243437..244234,+,265,15789585,243437,244234
244231..244632,-,133,15789586,244231,244632
244639..245802,+,387,15789587,244639,245802
245809..246108,-,99,15789588,245809,246108
246267..246854,-,195,15789589,246267,246854
247008..247967,-,319,15789590,247008,247967
248258..248971,+,237,15789591,248258,248971
248973..250817,-,614,15789592,248973,250817
251021..251263,+,80,15789593,251021,251263
251273..251884,-,203,15789594,251273,251884
251940..253118,-,392,15789595,251940,253118
253158..253667,-,169,15789596,253158,253667
253700..253876,-,58,15789597,253700,253876
253914..255653,-,579,15789598,253914,255653
255742..257811,-,689,15789599,255742,257811
257872..258939,-,355,15789600,257872,258939
258965..260251,-,428,15789601,258965,260251
260291..262549,-,752,15789602,260291,262549
262683..263072,+,129,15789603,262683,263072
263073..263978,-,301,15789604,263073,263978
264253..264945,+,230,15789605,264253,264945
265000..265620,+,206,16554464,265000,265620
265595..266869,-,424,15789606,265595,266869
266878..267267,+,129,16554465,266878,267267
267340..268041,+,233,15789607,267340,268041
268046..268906,-,286,15789608,268046,268906
268899..272471,-,1190,15789609,268899,272471
272493..272777,-,94,15789610,272493,272777
272907..274394,+,495,15789611,272907,274394
274440..274601,-,53,15789612,274440,274601
274891..275373,-,160,15789613,274891,275373
275494..277983,+,829,16554466,275494,277983
278123..279412,+,429,15789615,278123,279412
279446..279664,+,72,15789616,279446,279664
279704..280474,+,256,15789617,279704,280474
280487..282370,-,627,15789618,280487,282370
282398..282826,+,142,15789619,282398,282826
282823..283725,+,300,15789620,282823,283725
283764..284243,-,159,15789621,283764,284243
284272..285273,+,333,15789622,284272,285273
285278..286072,+,264,15789623,285278,286072
286131..286952,+,273,15789624,286131,286952
286968..288011,-,347,15789625,286968,288011
288101..288445,+,114,15789626,288101,288445
288491..289006,+,171,15789627,288491,289006
289515..290222,-,235,16554467,289515,290222
290169..291539,+,456,15789629,290169,291539
291616..291984,+,122,15789630,291616,291984
291994..292431,-,145,15789631,291994,292431
292433..292606,-,57,15789632,292433,292606
292670..293860,-,396,15789633,292670,293860
293888..295060,-,390,15789634,293888,295060
295310..296266,-,318,15789635,295310,296266
296344..297144,+,266,15789636,296344,297144
297162..297530,+,122,15789637,297162,297530
297545..299011,+,488,15789638,297545,299011
299008..299583,+,191,16554468,299008,299583
299568..300425,+,285,15789640,299568,300425
300471..300941,+,156,15789641,300471,300941
300938..301228,-,96,15789642,300938,301228
301248..302276,+,342,15789643,301248,302276
302277..302999,-,240,15789644,302277,302999
303046..304194,-,382,15789645,303046,304194
304268..305170,-,300,15789646,304268,305170
305431..305844,+,137,15789647,305431,305844
305902..306699,+,265,15789648,305902,306699
306701..307168,-,155,15789649,306701,307168
307290..309215,-,641,15789650,307290,309215
309533..309685,-,50,15789651,309533,309685
309807..311312,+,501,161349985,309807,311312
311391..311921,+,176,15789653,311391,311921
311957..312946,+,329,15789654,311957,312946
313105..314163,+,352,15789655,313105,314163
314156..314971,-,271,15789656,314156,314971
315206..316276,-,356,15789657,315206,316276
316309..318105,-,598,15789658,316309,318105
318208..319275,+,355,15789659,318208,319275
319297..321744,-,815,15789660,319297,321744
321793..323580,-,595,15789661,321793,323580
323468..324955,+,495,15789662,323468,324955
325020..325661,+,213,15789663,325020,325661
325698..326195,+,165,15789664,325698,326195
326196..326384,-,62,15789665,326196,326384
326468..326947,+,159,15789666,326468,326947
326955..328172,-,405,15789667,326955,328172
328415..328807,+,130,15789668,328415,328807
328807..329523,+,238,15789669,328807,329523
329653..329967,-,104,15789670,329653,329967
330079..331341,+,420,15789671,330079,331341
331342..332112,-,256,15789672,331342,332112
332196..332681,+,161,15789673,332196,332681
332688..333338,-,216,15789674,332688,333338
333816..334244,-,142,15789675,333816,334244
334368..334703,+,111,15789676,334368,334703
334798..335064,-,88,15789677,334798,335064
335061..336626,-,521,15789678,335061,336626
336723..338003,+,426,15789679,336723,338003
338014..339384,-,456,15789680,338014,339384
339490..339819,+,109,15789681,339490,339819
339822..340952,-,376,15789682,339822,340952
341012..341647,+,211,15789683,341012,341647
341670..342908,-,412,15789684,341670,342908
342946..343887,-,313,15789685,342946,343887
343909..345117,-,402,15789686,343909,345117
345205..346275,+,356,15789687,345205,346275
346272..346910,+,212,15789688,346272,346910
346978..347355,+,125,15789689,346978,347355
347367..347990,-,207,15789690,347367,347990
348053..348898,-,281,15789691,348053,348898
348905..350605,-,566,15789692,348905,350605
350607..351566,-,319,15789693,350607,351566
351622..352656,-,344,15789694,351622,352656
352883..353887,+,334,15789695,352883,353887
353960..354931,+,323,15789696,353960,354931
355258..356568,+,436,15789697,355258,356568
356605..356889,-,94,15789698,356605,356889
356891..357508,-,205,15789699,356891,357508
357501..358391,-,296,16554469,357501,358391
358388..359239,-,283,15789701,358388,359239
359388..360221,-,277,15789702,359388,360221
360279..361511,-,410,15789703,360279,361511
361705..363387,-,560,15789704,361705,363387
363359..364117,-,252,15789705,363359,364117
364276..364476,-,66,15789706,364276,364476
364473..364889,-,138,15789707,364473,364889
365304..366173,-,289,15789708,365304,366173
366170..367918,-,582,15789709,366170,367918
368167..368811,+,214,15789710,368167,368811
369003..369404,+,133,16554470,369003,369404
369409..369825,-,138,15789711,369409,369825
369837..370787,-,316,15789712,369837,370787
370841..372802,-,653,15789713,370841,372802
372939..373508,-,189,15789714,372939,373508
373577..374761,-,394,15789715,373577,374761
374853..376823,+,656,15789716,374853,376823
376820..377209,-,129,15789717,376820,377209
377233..377808,-,191,15789718,377233,377808
377808..378581,-,257,15789719,377808,378581
378529..379233,-,234,15789720,378529,379233
379302..380477,-,391,15789721,379302,380477
380553..382442,-,629,15789722,380553,382442
382599..383294,-,231,15789723,382599,383294
383334..383987,-,217,15789724,383334,383987
384063..384446,-,127,15789725,384063,384446
384499..385005,-,168,15789726,384499,385005
385002..385913,-,303,15789727,385002,385913
386009..386755,+,248,15789728,386009,386755
386766..388004,-,412,15789729,386766,388004
388169..389290,+,373,15789730,388169,389290
389355..390143,+,262,15789731,389355,390143
390140..391321,-,393,15789732,390140,391321
391432..392532,+,366,15789733,391432,392532
392529..392660,-,43,15789734,392529,392660
392861..393733,-,290,15789735,392861,393733
393802..393999,+,65,15789736,393802,393999
394049..394186,+,45,15789737,394049,394186
394230..395336,-,368,15789738,394230,395336
395657..395887,+,76,15789739,395657,395887
395945..397108,+,387,15789740,395945,397108
397105..399756,+,883,15789741,397105,399756
399808..400059,+,83,15789742,399808,400059
400501..400614,-,37,15789743,400501,400614
400823..401008,-,61,15789744,400823,401008
401122..403827,+,901,15789745,401122,403827
403843..404586,-,247,15789746,403843,404586
404888..405814,+,308,15789747,404888,405814
405851..407275,+,474,15789748,405851,407275
407277..408491,+,404,15789749,407277,408491
408654..409160,-,168,15789750,408654,409160
409159..409593,+,144,15789751,409159,409593
410039..410416,-,125,15789752,410039,410416
410415..411128,+,237,15789753,410415,411128
411371..412003,+,210,15789754,411371,412003
412027..412317,-,96,15789755,412027,412317
412713..413414,-,233,15789756,412713,413414
413539..416253,-,904,15789757,413539,416253
416246..416737,-,163,15789758,416246,416737
416799..417755,-,318,15789759,416799,417755
417903..419099,-,398,15789760,417903,419099
419196..420488,+,430,15789761,419196,420488
420476..420874,-,132,15789762,420476,420874
421208..421615,+,135,15789763,421208,421615
421905..422657,-,250,15789764,421905,422657
422662..422844,-,60,15789765,422662,422844
422844..423647,-,267,15789766,422844,423647
423644..423817,-,57,15789767,423644,423817
423822..424007,-,61,15789768,423822,424007
424253..425932,+,559,15789769,424253,425932
425790..428312,-,840,15789770,425790,428312
428425..429981,+,518,15789771,428425,429981
430285..430965,-,226,15789772,430285,430965
431034..431600,-,188,15789773,431034,431600
431659..433443,-,594,15789774,431659,433443
433440..435059,-,539,161349984,433440,435059
435056..436198,-,380,15789776,435056,436198
436530..436886,-,118,15789777,436530,436886
436883..437350,-,155,15789778,436883,437350
437347..437877,-,176,15789779,437347,437877
437874..438200,-,108,16554471,437874,438200
438197..438472,-,91,161349983,438197,438472
438469..439563,-,364,15789782,438469,439563
439733..440911,-,392,15789783,439733,440911
441519..442211,-,230,15789784,441519,442211
442210..442467,+,85,15789785,442210,442467
442518..443819,+,433,15789786,442518,443819
444303..444683,+,126,15789787,444303,444683
444728..445168,+,146,15789788,444728,445168
445263..445523,-,86,15789789,445263,445523
445516..445803,-,95,15789790,445516,445803
445897..446661,-,254,15789791,445897,446661
446666..447478,-,270,15789792,446666,447478
447481..448311,-,276,15789793,447481,448311
448314..448700,-,128,15789794,448314,448700
448700..449389,-,229,15789795,448700,449389
449465..450376,-,303,15789796,449465,450376
450472..450960,+,162,15789797,450472,450960
450957..451601,-,214,15789798,450957,451601
451701..452384,-,227,15789799,451701,452384
452465..453469,+,334,15789800,452465,453469
454135..454461,+,108,15789801,454135,454461
454472..455086,-,204,15789802,454472,455086
455876..456031,+,51,15789803,455876,456031
456082..456483,+,133,15789804,456082,456483
456480..457472,-,330,15789805,456480,457472
457591..458676,-,361,15789806,457591,458676
458746..459027,+,93,15789807,458746,459027
459075..459317,+,80,15789808,459075,459317
459333..459794,-,153,15789809,459333,459794
460447..460728,+,93,15789810,460447,460728
460913..461737,+,274,15789811,460913,461737
461747..462160,-,137,15789812,461747,462160
462193..462840,-,215,15789813,462193,462840
462955..463797,-,280,15789814,462955,463797
464523..465503,+,326,15789815,464523,465503
466389..466583,-,64,15789816,466389,466583
466928..467362,-,144,15789817,466928,467362
467390..469276,-,628,15789818,467390,469276
469912..471549,-,545,15789819,469912,471549
471670..472527,-,285,15789820,471670,472527
472598..473500,-,300,15789821,472598,473500
473684..474712,-,342,15789822,473684,474712
474797..476572,+,591,15789823,474797,476572
476591..476920,-,109,15789824,476591,476920
477027..477500,-,157,15789825,477027,477500
477499..478410,+,303,15789826,477499,478410
478615..479733,+,372,15789827,478615,479733
479857..480999,-,380,15789828,479857,480999
480996..481397,-,133,15789829,480996,481397
481425..483239,+,604,15789830,481425,483239
483366..484460,+,364,15789831,483366,484460
484457..485068,+,203,15789832,484457,485068
485194..485604,+,136,15789833,485194,485604
485597..486304,+,235,15789834,485597,486304
486301..487989,+,562,15789835,486301,487989
488101..489045,+,314,15789836,488101,489045
489042..489503,+,153,15789837,489042,489503
489561..489821,+,86,15789838,489561,489821
489893..490126,+,77,15789839,489893,490126
490126..490428,+,100,15789840,490126,490428
490430..492508,+,692,15789841,490430,492508
492509..494068,+,519,15789842,492509,494068
494341..495552,+,403,15789843,494341,495552
495620..497053,+,477,15789844,495620,497053
497085..497903,+,272,15789845,497085,497903
498002..498151,+,49,15789846,498002,498151
498404..499984,+,526,15789847,498404,499984
499989..500732,-,247,15789848,499989,500732
500787..501026,-,79,15789849,500787,501026
501272..503053,-,593,15789850,501272,503053
503179..503406,-,75,15789851,503179,503406
503448..503834,-,128,15789852,503448,503834
503953..504810,+,285,15789853,503953,504810
504860..505708,+,282,15789854,504860,505708
505709..506476,-,255,15789855,505709,506476
506634..507962,+,442,15789856,506634,507962
507963..508619,+,218,15789857,507963,508619
508660..509556,+,298,15789858,508660,509556
509553..510302,+,249,15789859,509553,510302
510308..510787,-,159,15789860,510308,510787
510805..511413,-,202,15789861,510805,511413
511535..511951,+,138,15789862,511535,511951
511953..512927,+,324,15789863,511953,512927
512985..513917,+,310,15789864,512985,513917
513894..514277,-,127,15789865,513894,514277
514274..515461,-,395,15789866,514274,515461
515503..515790,-,95,15789867,515503,515790
515836..517029,-,397,15789868,515836,517029
516984..518156,+,390,15789869,516984,518156
518183..519043,-,286,15789870,518183,519043
518991..519815,+,274,15789871,518991,519815
519914..520705,+,263,15789872,519914,520705
520705..521568,+,287,15789873,520705,521568
521594..522283,+,229,15789874,521594,522283
522644..523456,+,270,15789875,522644,523456
523515..524378,+,287,15789876,523515,524378
524375..526114,+,579,15789877,524375,526114
526686..527156,+,156,15789878,526686,527156
527209..527625,+,138,15789879,527209,527625
527663..527779,-,38,15789880,527663,527779
527835..528500,-,221,15789881,527835,528500
528770..531343,+,857,15789882,528770,531343
531405..531611,+,68,15789883,531405,531611
531750..532034,+,94,15789884,531750,532034
532038..532409,-,123,15789885,532038,532409
532495..534006,-,503,15789886,532495,534006
534180..534779,+,199,15789887,534180,534779
534840..535388,+,182,15789888,534840,535388
535522..536508,+,328,15789889,535522,536508
536584..537165,+,193,15789890,536584,537165
537212..537907,+,231,15789891,537212,537907
537985..539415,+,476,15789892,537985,539415
539412..541040,-,542,15789893,539412,541040
541134..541460,+,108,15789894,541134,541460
541473..542150,-,225,15789895,541473,542150
542178..543044,+,288,15789896,542178,543044
543049..544518,-,489,15789897,543049,544518
544564..545673,-,369,15789898,544564,545673
545760..546020,+,86,15789899,545760,546020
546070..546978,+,302,15789900,546070,546978
546988..547578,-,196,15789901,546988,547578
547992..549476,+,494,15789902,547992,549476
549641..550258,+,205,15789903,549641,550258
550255..551166,-,303,15789904,550255,551166
551252..551722,+,156,15789905,551252,551722
551723..552859,-,378,15789906,551723,552859
552804..553373,+,189,15789907,552804,553373
553409..554386,-,325,15789908,553409,554386
554704..555291,+,195,15789909,554704,555291
555295..557208,+,637,15789910,555295,557208
557214..557657,-,147,15789911,557214,557657
557749..557973,+,74,15789912,557749,557973
557985..558617,-,210,15789913,557985,558617
558704..559006,+,100,15789914,558704,559006
559020..559724,-,234,15789915,559020,559724
559752..560261,+,169,15789916,559752,560261
560272..562254,-,660,15789917,560272,562254
562241..563569,-,442,15789918,562241,563569
563560..565773,-,737,15789919,563560,565773
565827..567884,-,685,15789920,565827,567884
568228..568947,+,239,15789921,568228,568947
569022..569336,+,104,15789922,569022,569336
569376..570320,-,314,15789923,569376,570320
570402..571580,-,392,15789924,570402,571580
571614..572417,-,267,15789925,571614,572417
572416..573042,+,208,15789926,572416,573042
573224..573769,+,181,15789927,573224,573769
573769..574440,+,223,15789928,573769,574440
574437..575162,+,241,15789929,574437,575162
575197..575892,+,231,15789930,575197,575892
575902..576015,-,37,15789931,575902,576015
576121..576747,+,208,15789932,576121,576747
576838..577914,+,358,15789933,576838,577914
577924..578100,-,58,15789934,577924,578100
578203..579231,+,342,15789935,578203,579231
579298..579477,+,59,15789936,579298,579477
579518..579742,+,74,15789937,579518,579742
579788..580198,+,136,15789938,579788,580198
580451..581962,-,503,15789939,580451,581962
582038..583024,-,328,16554472,582038,583024
583046..584185,+,379,15789941,583046,584185
584205..584645,-,146,15789942,584205,584645
584642..585127,-,161,15789943,584642,585127
585235..587049,+,604,15789944,585235,587049
586952..587128,+,58,15789945,586952,587128
588702..590003,-,433,15789946,588702,590003
590056..590733,-,225,15789947,590056,590733
590830..591279,+,149,15789948,590830,591279
591340..591960,-,206,15789949,591340,591960
591957..592118,-,53,15789950,591957,592118
592199..593302,-,367,15789951,592199,593302
593307..593774,-,155,15789952,593307,593774
594361..596730,-,789,15789953,594361,596730
596727..597695,-,322,15789954,596727,597695
598271..598744,+,157,15789955,598271,598744
598879..600096,+,405,15789956,598879,600096
600156..601424,+,422,15789957,600156,601424
601488..602189,+,233,15789958,601488,602189
602186..602782,+,198,15789959,602186,602782
603037..603327,-,96,15789960,603037,603327
603453..604346,+,297,15789961,603453,604346
604372..606708,-,778,15789962,604372,606708
606864..608225,-,453,15789963,606864,608225
608215..608895,+,226,15789964,608215,608895
608896..609288,-,130,15789965,608896,609288
609588..611960,+,790,15789966,609588,611960
611957..613207,+,416,15789967,611957,613207
613227..613859,-,210,15789968,613227,613859
613864..615006,+,380,15789969,613864,615006
615200..616840,+,546,15789970,615200,616840
616933..618651,+,572,15789971,616933,618651
618648..620333,+,561,15789972,618648,620333
620587..621240,-,217,15789973,620587,621240
621237..622844,-,535,15789974,621237,622844
623369..625054,-,561,15789975,623369,625054
625085..625786,-,233,15789976,625085,625786
625866..626312,-,148,15789977,625866,626312
626458..627132,+,224,15789978,626458,627132
627213..627452,+,79,15789979,627213,627452
627445..629958,+,837,15789980,627445,629958
629955..630743,+,262,15789981,629955,630743
630743..632050,+,435,15789982,630743,632050
632047..632625,+,192,15789983,632047,632625
632698..633588,+,296,15789984,632698,633588
633600..633962,-,120,15789985,633600,633962
635667..636047,+,126,15789986,635667,636047
636909..637199,+,96,15789987,636909,637199
637192..638265,+,357,15789988,637192,638265
638529..638633,-,34,15789989,638529,638633
638908..639570,-,220,15789990,638908,639570
639672..640481,-,269,15789991,639672,640481
640617..642092,+,491,15789992,640617,642092
642117..643022,-,301,15789993,642117,643022
643071..644420,-,449,15789994,643071,644420
644507..645466,-,319,15789995,644507,645466
645426..646076,+,216,15789996,645426,646076
646085..646483,-,132,15789997,646085,646483
646591..647625,+,344,15789998,646591,647625
647674..648294,+,206,16554473,647674,648294
648285..650081,-,598,15790000,648285,650081
650181..650465,+,94,15790001,650181,650465
650472..651293,-,273,15790002,650472,651293
651537..651836,+,99,15790003,651537,651836
651889..652026,+,45,15790004,651889,652026
652034..654136,-,700,15790005,652034,654136
654315..654935,+,206,15790006,654315,654935
654935..656017,+,360,15790007,654935,656017
656033..656506,-,157,15790008,656033,656506
656539..657525,-,328,15790009,656539,657525
657575..657961,+,128,15790010,657575,657961
657961..659232,+,423,15790011,657961,659232
659240..659707,-,155,15790012,659240,659707
659810..661324,+,504,15790013,659810,661324
661336..661929,+,197,16554474,661336,661929
661987..662982,+,331,15790015,661987,662982
663068..663607,-,179,16554475,663068,663607
663648..664013,-,121,15790017,663648,664013
664212..664979,+,255,15790018,664212,664979
665121..666806,+,561,15790019,665121,666806
666861..667634,+,257,16554476,666861,667634
667700..668494,+,264,15790021,667700,668494
668445..669545,-,366,15790022,668445,669545
669542..671956,-,804,15790023,669542,671956
672176..674011,+,611,15790024,672176,674011
674013..676487,+,824,15790025,674013,676487
676676..677209,+,177,15790026,676676,677209
677255..678424,+,389,15790027,677255,678424
678467..678622,+,51,15790028,678467,678622
678619..679143,+,174,16554477,678619,679143
679140..679961,-,273,15790029,679140,679961
680015..680419,-,134,15790030,680015,680419
680470..681555,-,361,15790031,680470,681555
681548..682771,-,407,15790032,681548,682771
682768..684288,-,506,15790033,682768,684288
