Location,Strand,Length,PID,start,end
65855..66550,-,231,16128055,65855,66550
66835..68337,-,500,16128056,66835,68337
68348..70048,-,566,16128057,68348,70048
70387..71265,+,292,16128058,70387,71265
71351..72115,+,254,16128059,71351,72115
72229..72927,-,232,16128060,72229,72927
72911..74521,-,536,16128061,72911,74521
74497..75480,-,327,16128062,74497,75480
75644..77299,-,551,16128063,75644,77299
77388..77519,+,43,226524697,77388,77519
77621..78799,+,392,49175994,77621,78799
78848..79453,-,201,16128065,78848,79453
79464..80864,-,466,16128066,79464,80864
80867..81958,-,363,90111082,80867,81958
81958..83529,-,523,16128068,81958,83529
83622..83708,-,28,16128069,83622,83708
84368..85312,+,314,90111083,84368,85312
85630..87354,+,574,90111084,85630,87354
87357..87848,+,163,16128071,87357,87848
88028..89032,+,334,16128073,88028,89032
89634..90092,+,152,16128074,89634,90092
90094..91035,+,313,16128075,90094,91035
91032..91397,+,121,16128076,91032,91397
91413..93179,+,588,16128077,91413,93179
93166..94653,+,495,16128078,93166,94653
94650..96008,+,452,16128079,94650,96008
96002..97084,+,360,16128080,96002,97084
97087..98403,+,438,16128081,97087,98403
98403..99647,+,414,16128082,98403,99647
99644..100711,+,355,16128083,99644,100711
100765..102240,+,491,16128084,100765,102240
102233..103153,+,306,16128085,102233,103153
103155..103985,+,276,16128086,103155,103985
103982..105244,+,420,16128087,103982,105244
105305..106456,+,383,16128088,105305,106456
106557..107474,+,305,16128089,106557,107474
107705..108217,+,170,90111085,107705,108217
108279..110984,+,901,16128091,108279,110984
111044..111433,+,129,16128092,111044,111433
111649..111846,-,65,16128094,111649,111846
111856..112599,-,247,16128095,111856,112599
112599..113219,-,206,16128096,112599,113219
113444..114487,+,347,16128097,113444,114487
114522..115724,-,400,16128099,114522,115724
115714..117099,-,461,16128100,115714,117099
117109..117549,-,146,16128101,117109,117549
117752..118645,-,297,16128102,117752,118645
118733..119284,+,183,16128103,118733,119284
119281..120135,+,284,16128104,119281,120135
120178..121551,-,457,16128105,120178,121551
122092..122856,+,254,16128106,122092,122856
123017..125680,+,887,16128107,123017,125680
125695..127587,+,630,16128108,125695,127587
127912..129336,+,474,16128109,127912,129336
129407..131260,-,617,16128110,129407,131260
131615..134212,+,865,16128111,131615,134212
134388..134750,+,120,90111086,134388,134750
134788..135582,-,264,16128113,134788,135582
135598..136464,-,288,16128114,135598,136464
136570..136917,-,115,90111087,136570,136917
137083..138633,+,516,16128116,137083,138633
138835..141225,-,796,16128117,138835,141225
141431..141967,+,178,90111088,141431,141967
142008..142670,-,220,16128119,142008,142670
142779..143705,+,308,16128120,142779,143705
143702..144472,+,256,16128121,143702,144472
144577..145017,+,146,16128122,144577,145017
145081..146310,+,409,16128123,145081,146310
146314..146694,-,126,16128124,146314,146694
146968..147870,+,300,16128125,146968,147870
147944..148795,-,283,16128126,147944,148795
148807..149601,-,264,16128127,148807,149601
149715..150953,-,412,16128128,149715,150953
151003..151599,-,198,16128129,151003,151599
151626..152231,-,201,16128130,151626,152231
152243..152812,-,189,90111089,152243,152812
152829..155426,-,865,16128132,152829,155426
155461..156201,-,246,16128133,155461,156201
156299..156883,-,194,16128134,156299,156883
157253..157732,-,159,16128135,157253,157732
157729..159126,-,465,162135892,157729,159126
159186..160112,-,308,226524698,159186,160112
160149..160604,-,151,16128138,160149,160604
160782..161486,-,234,16128139,160782,161486
161501..162031,-,176,90111091,161501,162031
162105..164534,+,809,162135893,162105,164534
164730..167264,+,844,16128142,164730,167264
167484..169727,+,747,16128143,167484,169727
169778..170575,+,265,16128144,169778,170575
170575..171465,+,296,16128145,170575,171465
171462..173444,+,660,16128146,171462,173444
173602..174882,-,426,16128147,173602,174882
175107..176528,+,473,16128148,175107,176528
176610..176954,+,114,16128149,176610,176954
177001..177624,-,207,16128150,177001,177624
177662..178462,-,266,16128151,177662,178462
178455..179153,-,232,16128152,178455,179153
179237..180754,+,505,16128153,179237,180754
180884..182308,+,474,16128154,180884,182308
182463..183620,+,385,90111093,182463,183620
183709..184095,-,128,16128156,183709,184095
184257..185069,-,270,90111094,184257,185069
185123..185947,-,274,16128159,185123,185947
185978..188650,-,890,16128160,185978,188650
188712..189506,-,264,16128161,188712,189506
189874..190599,+,241,16128162,189874,190599
190857..191708,+,283,16128163,190857,191708
191855..192580,+,241,16128164,191855,192580
192872..193429,+,185,16128165,192872,193429
193521..194717,+,398,16128166,193521,194717
194903..195664,+,253,16128167,194903,195664
195677..196534,+,285,90111095,195677,196534
196546..197898,+,450,16128169,196546,197898
197928..200360,+,810,16128170,197928,200360
200482..200967,+,161,16128171,200482,200967
200971..201996,+,341,16128172,200971,201996
202101..202556,+,151,16128173,202101,202556
202560..203348,+,262,16128174,202560,203348
203348..204496,+,382,16128175,203348,204496
204493..205089,+,198,16128176,204493,205089
205126..208608,+,1160,16128177,205126,208608
208621..209580,+,319,16128178,208621,209580
209679..211820,+,713,16128179,209679,211820
211877..212266,+,129,90111096,211877,212266
212331..213629,+,432,16128181,212331,213629
213678..213932,-,84,90111097,213678,213932
213925..214125,-,66,49176004,213925,214125
214291..214836,+,181,16128183,214291,214836
214833..215255,+,140,16128184,214833,215255
215269..215979,+,236,16128185,215269,215979
216179..217003,-,274,90111098,216179,217003
217057..218775,-,572,16128187,217057,218775
218887..219594,-,235,16128188,218887,219594
219591..219995,-,134,16128189,219591,219995
220113..220928,-,271,16128190,220113,220928
220968..221621,-,217,16128191,220968,221621
221614..222645,-,343,16128192,221614,222645
222833..223408,+,191,16128193,222833,223408
229167..229970,+,267,16128194,229167,229970
229967..230881,-,304,16128195,229967,230881
231122..231922,+,266,16128196,231122,231922
231926..232549,+,207,16128197,231926,232549
232597..233955,-,452,16128198,232597,233955
234027..234782,-,251,16128199,234027,234782
234816..235538,+,240,90111099,234816,235538
235535..236002,-,155,16128201,235535,236002
236067..236798,+,243,16128202,236067,236798
237335..238120,+,261,16128203,237335,238120
238257..238736,-,159,145698220,238257,238736
239419..240189,-,256,16128205,239419,240189
240343..240816,+,157,16128206,240343,240816
240859..243303,-,814,90111100,240859,243303
243543..244121,+,192,16128208,243543,244121
244327..245094,+,255,16128209,244327,245094
245065..245805,-,246,16128210,245065,245805
245961..246239,-,92,16128211,245961,246239
246242..246502,-,86,16128212,246242,246502
246712..247461,+,249,16128213,246712,247461
247637..248134,+,165,16128214,247637,248134
250898..251953,+,351,16128217,250898,251953
252005..252298,+,97,16128218,252005,252298
252301..252699,+,132,16128219,252301,252699
252709..253161,+,150,16128220,252709,253161
254259..255716,-,485,16128223,254259,255716
255977..256435,+,152,16128224,255977,256435
256527..257771,+,414,16128225,256527,257771
257829..258230,+,133,16128226,257829,258230
258269..259324,-,351,16128227,258269,259324
259612..260715,+,367,16128228,259612,260715
260727..261980,+,417,16128229,260727,261980
262552..262893,-,113,16128230,262552,262893
262914..263231,-,105,16128231,262914,263231
263250..263471,-,73,94541094,263250,263471
263480..263956,-,158,16128232,263480,263956
263972..264430,-,152,16128233,263972,264430
264528..264767,-,79,16128234,264528,264767
264844..265311,-,155,16128235,264844,265311
265334..265777,-,147,145698221,265334,265777
266408..267229,-,273,90111102,266408,267229
267321..268184,-,287,90111103,267321,268184
268513..269406,-,297,16128239,268513,269406
269827..270978,+,383,16128241,269827,270978
273325..274341,-,338,16128244,273325,274341
274549..275952,+,467,90111105,274549,275952
275939..276871,+,310,16128246,275939,276871
276980..278026,-,348,90111106,276980,278026
278402..278905,-,167,16128249,278402,278905
278824..279099,-,91,16128250,278824,279099
280053..281207,-,384,16128252,280053,281207
281502..282410,+,302,345452715,281502,282410
282425..284392,+,655,16128254,282425,284392
284619..286001,+,460,16128255,284619,286001
286013..287623,+,536,16128256,286013,287623
287628..288386,-,252,16128257,287628,288386
288525..289529,-,334,16128258,288525,289529
289873..290376,-,167,16128259,289873,290376
290295..290570,-,91,16128260,290295,290570
291546..292172,-,208,16128262,291546,292172
292444..293142,-,232,16128263,292444,293142
293169..294023,-,284,16128264,293169,294023
294363..294803,-,146,16128265,294363,294803
294920..296320,-,466,16128266,294920,296320
296994..297950,-,318,16128268,296994,297950
297960..300158,-,732,16128269,297960,300158
300155..301111,-,318,16128270,300155,301111
301108..301797,-,229,16128271,301108,301797
302215..302829,+,204,16128272,302215,302829
303077..303406,-,109,16128273,303077,303406
303719..304429,-,236,90111108,303719,304429
304398..306041,-,547,16128275,304398,306041
306031..308556,-,841,16128276,306031,308556
308582..309250,-,222,16128277,308582,309250
309308..309895,-,195,16128278,309308,309895
309970..310560,-,196,16128279,309970,310560
311336..311563,+,75,16128280,311336,311563
311598..311738,-,46,94541137,311598,311738
311738..312001,-,87,16128281,311738,312001
312365..312466,-,33,226524699,312365,312466
314515..314814,+,99,226524700,314515,314814
314811..315677,+,288,16128284,314811,315677
316950..317543,-,197,90111110,316950,317543
317555..317791,-,78,90111111,317555,317791
317900..319225,-,441,90111112,317900,319225
319451..320305,+,284,16128290,319451,320305
320832..321551,+,239,16128291,320832,321551
321562..322989,+,475,16128292,321562,322989
322982..323677,+,231,90111113,322982,323677
323920..324588,-,222,16128295,323920,324588
324801..326471,-,556,16128296,324801,326471
326485..327957,-,490,16128297,326485,327957
327971..328558,-,195,49176011,327971,328558
328687..330720,+,677,16128299,328687,330720
331595..332683,+,362,16128300,331595,332683
332725..333657,-,310,16128301,332725,333657
333749..334246,-,165,16128302,333749,334246
334504..335109,+,201,16128303,334504,335109
335149..336012,+,287,16128304,335149,336012
336002..337549,+,515,16128305,336002,337549
337549..338967,+,472,16128306,337549,338967
339389..340339,+,316,16128308,339389,340339
340349..341731,+,460,16128309,340349,341731
342108..343157,+,349,16128310,342108,343157
343400..344215,+,271,16128311,343400,344215
344628..344873,+,81,90111114,344628,344873
344890..345561,-,223,16128313,344890,345561
345708..345983,+,91,16128314,345708,345983
346081..347667,-,528,16128315,346081,347667
347906..348796,+,296,16128316,347906,348796
349236..350405,+,389,16128318,349236,350405
350439..351890,+,483,16128319,350439,351890
351930..353816,+,628,16128320,351930,353816
354146..355405,+,419,16128321,354146,355405
355395..356678,+,427,16128322,355395,356678
357015..357914,-,299,157783149,357015,357914
358023..358682,+,219,16128324,358023,358682
358713..359183,+,156,16128325,358713,359183
359216..360370,+,384,16128326,359216,360370
360473..361084,-,203,16128327,360473,361084
361150..362403,-,417,16128328,361150,362403
362455..365529,-,1024,16128329,362455,365529
365652..366734,-,360,49176012,365652,366734
366811..367644,-,277,145698223,366811,367644
367835..369499,+,554,16128332,367835,369499
369501..370445,+,314,16128333,369501,370445
370448..371329,+,293,90111115,370448,371329
371339..372148,+,269,90111116,371339,372148
372145..373095,+,316,16128336,372145,373095
373092..374105,+,337,16128337,373092,374105
374683..375894,+,403,90111117,374683,375894
375996..376535,+,179,90111118,375996,376535
376759..377592,-,277,16128340,376759,377592
377686..378795,-,369,16128341,377686,378795
378830..379105,-,91,162135894,378830,379105
379293..380066,-,257,16128343,379293,380066
380575..380940,+,121,145698224,380575,380940
380898..381803,+,301,16128346,380898,381803
381963..383159,-,398,16128348,381963,383159
383283..383840,-,185,90111121,383283,383840
384456..385418,+,320,90111122,384456,385418
385431..386198,+,255,16128351,385431,386198
386195..387022,+,275,16128352,386195,387022
387019..387870,+,283,16128353,387019,387870
387977..388951,-,324,90111123,387977,388951
390963..391829,-,288,16128357,390963,391829
391826..392125,-,99,226524701,391826,392125
393730..394353,+,207,226524702,393730,394353
394354..395511,-,385,16128361,394354,395511
395863..397083,+,406,16128362,395863,397083
397096..398190,+,364,16128363,397096,398190
398249..398557,-,102,16128364,398249,398557
398817..399029,+,70,90111125,398817,399029
399053..400147,-,364,16128366,399053,400147
400610..400870,+,86,16128367,400610,400870
400971..402386,+,471,49176017,400971,402386
402505..402825,+,106,162135895,402505,402825
402927..404042,+,371,16128370,402927,404042
404059..404868,-,269,16128371,404059,404868
404988..405446,+,152,90111127,404988,405446
405629..406153,+,174,16128373,405629,406153
406203..406394,+,63,16128374,406203,406394
406652..407329,+,225,16128375,406652,407329
407401..407685,+,94,16128376,407401,407685
408332..409243,-,303,16128378,408332,409243
409368..410276,+,302,90111128,409368,410276
410521..411705,-,394,49176018,410521,411705
411831..414977,-,1048,16128382,411831,414977
414974..416176,-,400,16128383,414974,416176
416366..417055,+,229,16128384,416366,417055
417113..418408,+,431,16128385,417113,418408
418815..420134,+,439,16128386,418815,420134
420210..421583,+,457,16128387,420210,421583
421742..423556,+,604,345452716,421742,423556
423561..424142,-,193,16128389,423561,424142
424235..425305,+,356,16128390,424235,425305
425361..426488,+,375,16128391,425361,426488
426511..426843,+,110,16128392,426511,426843
426871..428718,+,615,16128393,426871,428718
428729..429700,+,323,16128394,428729,429700
429829..430176,+,115,16128395,429829,430176
430353..431237,-,294,16128396,430353,431237
431536..432075,-,179,90111129,431536,432075
432226..432675,+,149,16128398,432226,432675
432679..433782,+,367,16128399,432679,433782
433871..434341,+,156,16128400,433871,434341
434361..434780,+,139,16128401,434361,434780
434858..435835,+,325,16128402,434858,435835
435813..436331,+,172,16128403,435813,436331
436385..437359,-,324,90111130,436385,437359
437539..439401,-,620,16128405,437539,439401
439426..440325,-,299,16128406,439426,440325
440325..440567,-,80,16128407,440325,440567
440773..442221,+,482,16128408,440773,442221
442275..442865,-,196,90111131,442275,442865
442828..443739,-,303,16128410,442828,443739
443907..444398,+,163,90111132,443907,444398
444526..445890,-,454,90111133,444526,445890
446039..446929,-,296,16128413,446039,446929
446941..447270,-,109,16128414,446941,447270
447270..447884,-,204,16128415,447270,447884
447874..449865,-,663,16128416,447874,449865
449887..450834,-,315,16128417,449887,450834
451294..452769,-,491,16128418,451294,452769
452813..453391,-,192,90111134,452813,453391
453696..454013,+,105,90111135,453696,454013
454357..455655,+,432,16128421,454357,455655
455901..456524,+,207,16128422,455901,456524
456650..457924,+,424,16128423,456650,457924
458112..460466,+,784,16128424,458112,460466
460675..460947,+,90,16128425,460675,460947
461139..463010,+,623,16128426,461139,463010
463161..463532,+,123,16128427,463161,463532
463626..464024,+,132,16128428,463626,464024
464076..464771,-,231,16128429,464076,464771
464836..466536,-,566,16128430,464836,466536
466636..467454,+,272,90111136,466636,467454
467607..468065,+,152,90111137,467607,468065
468095..469867,+,590,16128433,468095,469867
469860..471641,+,593,16128434,469860,471641
471822..472160,+,112,16128435,471822,472160
472190..473476,+,428,16128436,472190,473476
473525..474385,-,286,16128437,473525,474385
474603..475175,+,190,49176025,474603,475175
475206..475595,-,129,16128439,475206,475595
475896..476249,+,117,16128440,475896,476249
476291..477841,-,516,90111138,476291,477841
478005..478475,-,156,90111139,478005,478475
478591..479142,-,183,16128443,478591,479142
479314..479532,-,72,16128444,479314,479532
479558..479932,-,124,16128445,479558,479932
480478..483627,-,1049,16128446,480478,483627
483650..484843,-,397,16128447,483650,484843
484985..485632,+,215,16128448,484985,485632
485760..489122,+,1120,16128449,485760,489122
489334..489495,-,53,16128450,489334,489495
489509..490036,-,175,16128451,489509,490036
490106..490483,+,125,16128452,490106,490483
490636..491187,+,183,16128453,490636,491187
491316..493247,+,643,16128454,491316,493247
493300..493629,+,109,16128455,493300,493629
493629..494234,+,201,16128456,493629,494234
494344..496218,+,624,16128457,494344,496218
496399..497043,+,214,16128458,496399,497043
497279..498241,+,320,16128459,497279,498241
498238..499197,-,319,16128460,498238,499197
499349..500653,+,434,16128461,499349,500653
500786..502462,-,558,16128462,500786,502462
502700..503920,-,406,16128463,502700,503920
504138..505790,+,550,16128464,504138,505790
505827..506306,-,159,16128465,505827,506306
506510..507304,-,264,16128466,506510,507304
507442..507783,+,113,90111140,507442,507783
508099..510603,-,834,16128468,508099,510603
510865..511797,+,310,16128469,510865,511797
511800..513092,+,430,16128470,511800,513092
513217..513624,+,135,16128471,513217,513624
513625..514083,-,152,145698226,513625,514083
514080..514997,-,305,16128473,514080,514997
515143..515820,+,225,16128474,515143,515820
515807..516586,+,259,90111141,515807,516586
516649..517503,-,284,90111142,516649,517503
517564..518373,-,269,16128477,517564,518373
518363..518989,-,208,16128478,518363,518989
518957..519643,+,228,16128479,518957,519643
519640..522054,+,804,16128480,519640,522054
522485..526765,+,1426,16128481,522485,526765
526805..527173,+,122,16128482,526805,527173
529356..530450,-,364,16128487,529356,530450
530519..531445,-,308,16128488,530519,531445
531675..532157,+,160,16128489,531675,532157
532235..533050,+,271,16128490,532235,533050
533140..534921,+,593,16128491,533140,534921
534934..535710,+,258,16128492,534934,535710
535810..536688,+,292,16128493,535810,536688
536857..538311,+,484,90111144,536857,538311
538371..539732,+,453,16128496,538371,539732
539789..541090,+,433,90111145,539789,541090
541112..542257,+,381,16128498,541112,542257
542485..543270,-,261,16128499,542485,543270
543281..544516,-,411,16128500,543281,544516
544538..545587,-,349,16128501,544538,545587
545904..547571,+,555,16128502,545904,547571
548850..549665,+,271,16128504,548850,549665
549662..550555,+,297,16128505,549662,550555
550750..551817,-,355,16128506,550750,551817
551814..552323,-,169,16128507,551814,552323
552441..553163,-,240,16128508,552441,553163
553166..553660,-,164,16128509,553166,553660
553834..555219,+,461,16128510,553834,555219
555255..555776,-,173,16128511,555255,555776
555884..556096,-,70,90111146,555884,556096
556098..556964,-,288,16128513,556098,556964
557435..557977,+,180,90111147,557435,557977
558197..558889,+,230,16128515,558197,558889
558920..561523,+,867,16128516,558920,561523
561559..562542,+,327,145698227,561559,562542
562553..563068,+,171,16128518,562553,563068
563071..563703,-,210,16128519,563071,563703
564038..565201,-,387,16128520,564038,565201
566065..566364,+,99,226524703,566065,566364
566361..567227,+,288,16128524,566361,567227
567538..567870,+,110,16128526,567538,567870
568125..569651,+,508,16128527,568125,569651
570116..570667,+,183,16128528,570116,570667
570677..571474,+,265,16128529,570677,571474
571591..571692,+,33,145698228,571591,571692
571689..572144,+,151,16128530,571689,572144
572144..572314,+,56,16128531,572144,572314
572307..572597,+,96,16128532,572307,572597
572594..572956,+,120,16128533,572594,572956
572953..573093,+,46,94541097,572953,573093
573179..573562,+,127,16128534,573179,573562
573960..574976,-,338,16128535,573960,574976
576621..576836,+,71,16128537,576621,576836
576836..577333,+,165,16128538,576836,577333
577330..577791,+,153,16128539,577330,577791
577550..577732,+,60,94541098,577550,577732
577823..578116,-,97,16128540,577823,578116
578407..578817,-,136,90111149,578407,578817
579103..579309,+,68,16128542,579103,579309
579474..579668,-,64,145698229,579474,579668
580057..580602,+,181,16128543,580057,580602
582904..583653,+,249,16128547,582904,583653
583903..584856,-,317,16128548,583903,584856
585370..586131,-,253,16128549,585370,586131
586314..587204,-,296,16128550,586314,587204
587205..590177,-,990,16128551,587205,590177
590164..592401,-,745,16128552,590164,592401
592551..593993,-,480,16128553,592551,593993
593983..594666,-,227,16128554,593983,594666
594823..596196,+,457,16128555,594823,596196
596354..596686,+,110,16128556,596354,596686
596702..597925,+,407,16128557,596702,597925
597937..601080,+,1047,16128558,597937,601080
601182..602558,+,458,16128559,601182,602558
602639..603886,-,415,16128560,602639,603886
603994..604647,-,217,16128561,603994,604647
604741..605109,-,122,16128562,604741,605109
605174..605422,-,82,16128563,605174,605422
605488..606606,-,372,16128564,605488,606606
607059..607211,+,50,49176035,607059,607211
607288..608400,+,370,16128565,607288,608400
608682..609302,-,206,345452717,608682,609302
609477..611717,-,746,16128567,609477,611717
612038..613162,+,374,16128568,612038,613162
613165..613383,+,72,94541099,613165,613383
613380..617261,+,1293,16128569,613380,617261
617477..618610,+,377,16128570,617477,618610
618607..619422,-,271,16128571,618607,619422
619419..620411,-,330,16128572,619419,620411
620408..621412,-,334,16128573,620408,621412
621523..622773,+,416,16128574,621523,622773
622777..623733,-,318,16128575,622777,623733
624108..625283,+,391,16128576,624108,625283
625293..626903,+,536,16128577,625293,626903
626917..627774,+,285,16128578,626917,627774
627774..628520,+,248,16128579,627774,628520
628523..628936,+,137,16128580,628523,628936
629117..631222,+,701,16128581,629117,631222
631405..631602,+,65,94541100,631405,631602
631612..632700,-,362,16128582,631612,632700
632809..633969,+,386,16128583,632809,633969
633970..634599,-,209,16128584,633970,634599
634572..635792,-,406,16128585,634572,635792
635939..636841,-,300,16128586,635939,636841
637050..637796,-,248,90111151,637050,637796
638168..638731,+,187,16128588,638168,638731
638976..640541,+,521,90111152,638976,640541
640662..641090,-,142,16128590,640662,641090
641311..642549,+,412,16128591,641311,642549
642780..643190,-,136,16128593,642780,643190
643420..644226,-,268,16128594,643420,644226
644340..645803,-,487,16128595,644340,645803
645854..646732,-,292,16128596,645854,646732
646707..647258,-,183,16128597,646707,647258
647262..648794,-,510,16128598,647262,648794
648805..649713,-,302,90111153,648805,649713
649710..650006,-,98,16128600,649710,650006
650021..651079,-,352,90111154,650021,651079
651458..653116,+,552,16128602,651458,653116
653085..653765,+,226,16128603,653085,653765
653806..655191,-,461,16128604,653806,655191
655780..656340,+,186,16128605,655780,656340
656515..656724,+,69,16128606,656515,656724
656778..657161,-,127,16128607,656778,657161
658170..658373,+,67,16128610,658170,658373
658474..659439,-,321,16128611,658474,659439
659648..660601,-,317,90111155,659648,660601
660860..661501,-,213,90111156,660860,661501
661602..661865,-,87,16128614,661602,661865
661975..663186,-,403,16128615,661975,663186
663325..664413,-,362,16128616,663325,664413
664424..665536,-,370,16128617,664424,665536
665539..667440,-,633,16128618,665539,667440
667471..667938,-,155,16128619,667471,667938
667942..668259,-,105,90111157,667942,668259
668519..669130,-,203,16128621,668519,669130
669154..669795,-,213,16128622,669154,669795
669797..670828,-,343,16128623,669797,670828
670828..671409,-,193,16128624,670828,671409
671424..674006,-,860,16128625,671424,674006
674241..674723,+,160,16128626,674241,674723
674793..675770,-,325,90111158,674793,675770
675934..676641,+,235,16128628,675934,676641
676638..678065,+,475,16128629,676638,678065
678075..678629,-,184,16128630,678075,678629
678731..679438,+,235,16128631,678731,679438
679435..680886,+,483,16128632,679435,680886
680946..682616,-,556,16128633,680946,682616
682700..683635,-,311,16128634,682700,683635
683753..684478,-,241,16128635,683753,684478
684478..685152,-,224,16128636,684478,685152
685152..685892,-,246,16128637,685152,685892
686062..686970,-,302,16128638,686062,686970
687220..688236,-,338,16128639,687220,688236
688566..690104,-,512,16128640,688566,690104
690129..691007,-,292,16128641,690129,691007
691097..691564,-,155,16128642,691097,691564
691561..692601,-,346,145698230,691561,692601
692754..694178,-,474,16128644,692754,694178
694324..695499,+,391,16128645,694324,695499
696736..698400,-,554,16128650,696736,698400
698797..699549,-,250,16128651,698797,699549
699597..700817,-,406,16128652,699597,700817
700826..701974,-,382,16128653,700826,701974
702034..702834,-,266,16128654,702034,702834
703167..705113,+,648,16128655,703167,705113
705316..706980,+,554,16128656,705316,706980
707557..708963,+,468,16128657,707557,708963
709013..709339,+,108,16128658,709013,709339
709423..709869,-,148,16128659,709423,709869
709862..709948,-,28,157783150,709862,709948
710158..710688,-,176,16128660,710158,710688
710828..711121,-,97,90111159,710828,711121
711261..712025,-,254,16128662,711261,712025
712210..712755,+,181,16128663,712210,712755
712781..714421,+,546,16128664,712781,714421
714635..715129,+,164,16128665,714635,715129
716169..717488,-,439,16128668,716169,717488
717485..719683,-,732,16128669,717485,719683
719806..720063,+,85,145698231,719806,720063
720279..720956,-,225,16128670,720279,720956
720953..723637,-,894,16128671,720953,723637
723630..724202,-,190,16128672,723630,724202
724211..726259,-,682,16128673,724211,726259
726282..727955,-,557,16128674,726282,727955
727955..728044,-,29,94541101,727955,728044
728357..728563,+,68,16128675,728357,728563
728806..732999,+,1397,16128676,728806,732999
732999..733325,+,108,16128677,732999,733325
734873..735442,+,189,16128679,734873,735442
737315..738076,+,253,16128681,737315,738076
738224..738733,+,169,16128682,738224,738733
738730..740148,+,472,16128683,738730,740148
740298..741779,-,493,16128684,740298,741779
742050..742793,+,247,16128685,742050,742793
742816..743472,+,218,16128686,742816,743472
743466..744398,+,310,16128687,743466,744398
744388..745122,+,244,16128688,744388,745122
745158..745949,+,263,16128689,745158,745949
745946..746992,-,348,90111163,745946,746992
747144..748205,-,353,90111164,747144,748205
748202..748930,-,242,16128692,748202,748930
748945..751392,-,815,90111165,748945,751392
751452..752018,-,188,16128694,751452,752018
752408..753691,-,427,16128695,752408,753691
754400..754789,+,129,16128696,754400,754789
754783..755130,+,115,16128697,754783,755130
755130..756896,+,588,16128698,755130,756896
756912..757628,+,238,16128699,756912,757628
757929..760730,+,933,16128701,757929,760730
760745..761962,+,405,16128702,760745,761962
762237..763403,+,388,16128703,762237,763403
763403..764272,+,289,16128704,763403,764272
764376..765098,-,240,16128705,764376,765098
765207..767183,+,658,16128706,765207,767183
767201..769834,+,877,16128707,767201,769834
770681..772249,+,522,90111166,770681,772249
772265..773404,+,379,16128709,772265,773404
773419..773532,+,37,94541102,773419,773532
773532..773825,+,97,16128710,773532,773825
773975..774379,+,134,16128711,773975,774379
774376..775068,+,230,16128712,774376,775068
775072..775500,+,142,16128713,775072,775500
775565..776830,+,421,16128714,775565,776830
776963..778255,+,430,16128715,776963,778255
778290..778811,+,173,16128716,778290,778811
778821..779612,+,263,16128717,778821,779612
781308..782351,+,347,16128718,781308,782351
782389..783108,+,239,16128719,782389,783108
783105..784046,-,313,16128720,783105,784046
784160..784540,-,126,16128721,784160,784540
784856..785908,+,350,16128722,784856,785908
786066..786818,-,250,16128723,786066,786818
787020..788060,-,346,16128724,787020,788060
788054..789202,-,382,16128725,788054,789202
789206..790252,-,348,16128726,789206,790252
790262..791278,-,338,49176045,790262,791278
791539..793011,-,490,16128728,791539,793011
793079..793867,-,262,16128729,793079,793867
793996..794145,+,49,16128730,793996,794145
794312..795085,+,257,16128731,794312,795085
