Contig,Start,End,Strand
HCP21_1817,48,302,-
HCP21_10249,3,458,+
HCP21_2422,2,2179,+
HCP21_2422,2220,2282,+
HCP21_3713,1,642,+
HCP21_8589,37,1185,-
HCP21_10361,3,68,+
HCP21_10361,162,713,-
HCP21_5783,3,419,-
HCP21_9479,1,309,-
HCP21_9479,254,487,-
HCP21_2_13965,3,233,-
HCP21_4209,1,264,-
HCP21_1575,2,445,-
HCP21_10425,3,539,+
HCP21_10425,621,965,+
HCP21_7335,1,471,+
HCP21_6827,59,553,+
HCP21_478_,118,231,-
HCP21_736_,2,130,+
HCP21_6496,3,638,+
HCP21_8652,2,124,-
HCP21_5882,1,342,-
HCP21_9376,139,1014,+
HCP21_7098,3,566,+
HCP21_6954,2,424,+
HCP21_3488,1,606,+
HCP21_5300,2,427,-
HCP21_1678,3,434,+
HCP21_5977,3,80,+
HCP21_5977,426,533,-
HCP21_7007,3,374,-
HCP21_6253,3,371,-
HCP21_7217,35,370,+
HCP21_122_,79,1815,+
HCP21_10676,2,577,+
HCP21_2_42126,2,111,-
HCP21_10430,34,321,+
HCP21_5152,2,289,-
HCP21_5152,301,420,-
HCP21_7097,7,366,+
HCP21_3757,3,332,-
HCP21_9768,3,611,-
HCP21_539_,1,90,+
HCP21_539_,214,324,-
HCP21_3570,3,278,-
HCP21_3570,275,721,-
HCP21_3570,718,1092,-
HCP21_9507,1,486,+
HCP21_9400,2,925,-
HCP21_10196,24,902,+
HCP21_4474,2,397,+
HCP21_4474,380,499,-
HCP21_6404,393,986,+
HCP21_2935,2,411,-
HCP21_6795,97,708,-
HCP21_1845,72,323,+
HCP21_1590,127,330,-
HCP21_913_,1,351,+
HCP21_7523,1,312,+
HCP21_9589,2,448,-
HCP21_332_,2,310,-
HCP21_1_1_newblercontig12320,40,174,-
HCP21_2_2467,1,105,+
HCP21_2_6467,3,128,+
HCP21_2_7467,2,105,-
HCP21_2_12967,37,210,+
HCP21_2_13967,20,235,-
HCP21_2_26300,1,189,+
HCP21_2_31525,2,117,-
HCP21_2_36525,87,170,+
HCP21_2_42127,5,109,+
HCP21_2_44127,3,119,-
HCP21_2_48627,2,142,+
HCP21_2_51127,20,157,+
HCP21_2_55127,30,227,+
HCP21_2_58013,8,100,-
HCP21_2_69013,51,236,+
HCP21_2_69656,8,100,-
HCP21_2_80156,2,189,-
HCP21_2_81656,28,189,+
HCP21_2_100982,2,139,+
HCP21_2_103982,15,185,+
HCP21_2_105482,6,233,+
HCP21_2_109081,16,105,-
HCP21_2_111581,3,127,-
HCP21_2_113581,13,141,-
HCP21_2_126829,3,128,-
HCP21_2_127329,1,129,+
HCP21_2_128829,1,147,+
HCP21_2_130829,3,179,-
HCP21_2_134508,3,104,+
HCP21_2_135008,21,104,+
HCP21_2_137508,3,116,+
HCP21_2_139508,1,117,+
HCP21_2_145508,2,175,+
HCP21_2_148008,3,209,+
HCP21_2_154361,3,113,-
HCP21_10774,3,509,-
HCP21_7732,91,276,+
HCP21_7991,132,1052,+
HCP21_1959,2,124,-
HCP21_1959,145,444,-
HCP21_10520,43,312,+
HCP21_10564,2,88,+
HCP21_10564,366,575,+
HCP21_8310,1,879,+
HCP21_851_,1,384,+
HCP21_4442,3,1235,+
HCP21_4442,1239,1310,+
HCP21_10103,19,504,+
HCP21_8234,70,1044,+
HCP21_2705,1,408,+
HCP21_5777,2,421,-
HCP21_5777,647,847,-
HCP21_5777,828,1040,-
HCP21_5777,1056,1316,-
HCP21_6949,3,458,+
HCP21_6078,193,390,-
HCP21_1025,2,313,-
HCP21_1652,159,347,+
HCP21_3983,2,115,+
HCP21_4079,3,494,+
HCP21_4585,1,66,+
HCP21_5421,240,572,-
HCP21_1965,1,405,-
HCP21_1_1_newblercontig10685,15,200,+
HCP21_1_1_newblercontig16836,3,179,+
HCP21_2_11968,2,168,-
HCP21_2_21301,3,131,-
HCP21_2_26301,3,209,+
HCP21_2_30526,9,113,-
HCP21_2_32026,2,115,+
HCP21_2_36026,14,160,+
HCP21_2_44628,3,122,+
HCP21_2_49128,3,149,-
HCP21_2_50128,5,160,+
HCP21_2_50628,2,165,-
HCP21_2_51128,43,144,-
HCP21_2_51628,1,174,+
HCP21_2_53128,2,195,-
HCP21_2_62014,6,119,+
HCP21_2_64514,3,140,+
HCP21_2_65014,72,143,+
HCP21_2_67514,68,187,-
HCP21_2_78157,2,159,-
HCP21_2_79657,6,182,+
HCP21_2_96983,14,112,+
HCP21_2_100483,9,134,-
HCP21_2_100983,7,123,+
HCP21_2_103483,3,167,-
HCP21_2_108582,18,110,-
HCP21_2_110082,2,103,+
HCP21_2_111082,5,124,-
HCP21_2_123830,2,111,-
HCP21_2_124330,2,114,-
HCP21_2_126330,3,125,+
HCP21_2_131830,46,201,-
HCP21_2_133509,1,99,+
HCP21_2_138009,1,117,+
HCP21_2_144009,2,160,+
HCP21_2_152862,5,107,+
HCP21_2_156862,2,127,+
HCP21_2_162362,3,221,-
HCP21_4784,46,387,+
HCP21_2428,132,2492,-
HCP21_6708,93,344,+
HCP21_1242,3,380,+
HCP21_226_,3,326,-
HCP21_836_,79,321,+
HCP21_5569,156,317,-
HCP21_9083,43,423,-
HCP21_5161,1,972,-
HCP21_2319,2,370,+
HCP21_2257,4,309,+
HCP21_690_,3,371,+
HCP21_505_,3,386,+
HCP21_4270,209,379,-
HCP21_4692,27,707,-
HCP21_4816,1,351,-
HCP21_4313,1,306,+
HCP21_2965,2,1162,+
HCP21_6849,1,849,-
HCP21_878_,1,351,+
HCP21_745_,1,387,-
HCP21_1_1_newblercontig06067,3,247,-
HCP21_1_1_newblercontig06661,3,155,+
HCP21_1_1_newblercontig08414,63,224,-
HCP21_2_4969,3,116,-
HCP21_2_9469,3,155,+
HCP21_2_11969,3,191,-
HCP21_2_23802,9,146,-
HCP21_2_28027,6,101,-
HCP21_2_32527,2,124,+
HCP21_2_38527,3,143,-
HCP21_2_50129,2,160,+
HCP21_2_57515,2,100,+
HCP21_2_83812,12,107,+
HCP21_2_86812,41,121,-
HCP21_2_89812,5,148,+
HCP21_2_90312,1,153,+
HCP21_2_91812,3,182,-
HCP21_2_92812,3,203,+
HCP21_2_93312,4,177,+
HCP21_2_94984,7,99,+
HCP21_2_99484,3,127,-
HCP21_2_100984,7,138,+
HCP21_2_101484,3,143,+
HCP21_2_116083,1,171,+
HCP21_2_125331,3,119,+
HCP21_2_129831,1,162,+
HCP21_2_130831,3,178,-
HCP21_2_139010,50,124,+
HCP21_2_141010,2,133,+
HCP21_2_148010,24,134,+
HCP21_2_149010,25,228,-
HCP21_2_158363,2,139,+
HCP21_2_160363,53,166,+
HCP21_10052,40,489,-
HCP21_6938,1,369,+
HCP21_7489,80,553,+
HCP21_1874,8,253,+
HCP21_4296,1,579,+
HCP21_4028,3,614,-
HCP21_2847,64,1413,-
HCP21_2296,11,337,+
HCP21_7328,3,1739,-
HCP21_7606,177,572,+
HCP21_9696,1,492,-
HCP21_5825,45,440,-
HCP21_8069,2,547,+
HCP21_5078,2,145,+
HCP21_4854,1,453,+
HCP21_8291,3,791,+
HCP21_8291,907,972,-
HCP21_9259,22,375,-
HCP21_4436,1,87,-
HCP21_4436,88,486,-
HCP21_9695,3,350,-
HCP21_2277,123,254,-
HCP21_7779,23,883,+
HCP21_1_1_newblercontig06662,3,242,+
HCP21_1_1_newblercontig15486,5,220,-
HCP21_2_9470,2,156,-
HCP21_2_10970,3,172,-
HCP21_2_15303,3,101,+
HCP21_2_18803,14,115,-
HCP21_2_22303,2,139,+
HCP21_2_23803,10,147,+
HCP21_2_39630,3,100,-
HCP21_2_49130,1,150,+
HCP21_2_52630,16,180,-
HCP21_2_61016,3,116,-
HCP21_2_63016,3,125,+
HCP21_2_65016,2,144,-
HCP21_2_66016,5,154,-
HCP21_2_69016,73,237,+
HCP21_2_72659,3,113,+
HCP21_2_75159,3,128,+
HCP21_2_77159,9,140,-
HCP21_2_87813,2,129,-
HCP21_2_88313,3,131,+
HCP21_2_90313,2,153,-
HCP21_2_90813,2,162,-
HCP21_2_100485,3,133,-
HCP21_2_114084,3,142,-
HCP21_2_117084,15,185,+
HCP21_2_124332,3,115,-
HCP21_2_125832,6,80,+
HCP21_2_127832,7,138,-
HCP21_2_129832,4,162,+
HCP21_2_131332,3,152,-
HCP21_2_132832,3,194,-
HCP21_2_134011,3,98,-
HCP21_2_135511,2,108,-
HCP21_2_137011,1,114,+
HCP21_2_145511,55,174,+
HCP21_2_146511,6,170,+
HCP21_2_157364,1,126,+
HCP21_2_159364,1,150,+
HCP21_2_159864,1,159,+
HCP21_39__,50,1990,+
HCP21_4718,3,389,+
HCP21_4718,370,1011,+
HCP21_37__,44,1288,-
HCP21_37__,1317,2570,-
HCP21_37__,2567,3973,-
HCP21_37__,3982,4095,-
HCP21_3542,1,570,-
HCP21_1430,130,312,+
HCP21_7559,3,410,-
HCP21_8300,35,415,+
HCP21_1811,3,422,-
HCP21_5822,29,469,-
HCP21_1072,3,287,+
HCP21_3973,2,388,+
HCP21_61__,3,1169,-
HCP21_61__,1176,1931,-
HCP21_7610,3,500,-
HCP21_1706,3,320,+
HCP21_3998,88,978,+
HCP21_8583,2,310,-
HCP21_9668,1,588,-
HCP21_2468,2,490,-
HCP21_9794,51,230,-
HCP21_9794,592,672,-
HCP21_3401,3,146,-
HCP21_3401,184,369,-
HCP21_2353,1,96,+
HCP21_3691,8,250,-
HCP21_3691,388,966,-
HCP21_7514,298,360,+
HCP21_5564,3,563,+
HCP21_2513,142,642,-
HCP21_6619,2,370,-
HCP21_6619,351,422,-
HCP21_4982,1,336,+
HCP21_3068,45,338,-
HCP21_3339,56,355,-
HCP21_4964,3,398,+
HCP21_1729,2,343,+
HCP21_9994,2,562,-
HCP21_2444,3,314,+
HCP21_4475,3,599,-
HCP21_6310,1,387,+
HCP21_6282,2,604,-
HCP21_10109,3,374,+
HCP21_760_,3,359,-
HCP21_4801,2,505,+
HCP21_7829,6,311,+
HCP21_3139,1,72,+
HCP21_3198,1,300,-
HCP21_5673,3,320,+
HCP21_2_26305,1,216,+
HCP21_2_41132,2,102,-
HCP21_558_,3,302,+
HCP21_8628,2,337,-
HCP21_3875,1,378,-
HCP21_10803,19,291,-
HCP21_10803,309,377,-
HCP21_1145,84,311,-
HCP21_6767,97,366,+
HCP21_6347,53,430,-
HCP21_4412,15,593,+
HCP21_6674,2,375,-
HCP21_9846,3,887,+
HCP21_6454,123,233,-
HCP21_6454,221,1570,-
HCP21_10691,2,76,-
HCP21_10691,571,726,-
HCP21_2739,3,337,-
HCP21_9322,242,598,+
HCP21_1511,1,345,-
HCP21_4375,1,510,+
HCP21_5459,3,539,+
HCP21_1819,3,341,+
HCP21_7909,3,539,-
HCP21_8657,3,317,+
HCP21_3215,2,349,+
HCP21_3650,80,586,-
HCP21_1_1_newblercontig07842,99,221,-
HCP21_1_1_newblercontig08991,2,220,+
HCP21_1_1_newblercontig13926,58,156,-
HCP21_1_1_newblercontig16041,3,158,+
HCP21_2_473,3,98,-
HCP21_2_23306,3,151,-
HCP21_2_24806,5,175,-
HCP21_2_26806,124,234,-
HCP21_2_38531,15,218,-
HCP21_2_52133,30,182,-
HCP21_2_52633,38,187,-
HCP21_2_61019,2,106,+
HCP21_2_80662,1,195,+
HCP21_2_87816,3,128,+
HCP21_2_89816,31,147,-
HCP21_2_92316,2,196,+
HCP21_2_104488,3,200,-
HCP21_2_111087,1,123,+
HCP21_2_113087,2,127,+
HCP21_2_128835,2,147,-
HCP21_2_129335,3,155,-
HCP21_2_136014,2,109,+
HCP21_2_138014,10,117,+
HCP21_2_139014,1,124,+
HCP21_2_140514,25,132,+
HCP21_2_141014,1,135,+
HCP21_2_144514,2,163,+
HCP21_2_154367,3,113,+
HCP21_2_154867,1,114,+
HCP21_2_161367,2,190,+
HCP21_2_161867,4,135,-
HCP21_1932,3,62,-
HCP21_1932,178,312,-
HCP21_7669,2,1093,+
HCP21_9819,2,583,+
HCP21_2118,3,455,-
HCP21_8798,4,336,+
HCP21_270_,3,80,-
HCP21_270_,257,463,+
HCP21_1331,1,63,-
HCP21_1331,255,320,-
HCP21_3344,106,1083,-
HCP21_9383,72,332,+
HCP21_3294,3,143,+
HCP21_10403,3,260,+
HCP21_3074,70,723,+
HCP21_1773,161,307,-
HCP21_7899,1,546,+
HCP21_1436,143,430,+
HCP21_2173,1,231,+
HCP21_2173,228,326,+
HCP21_9221,61,357,+
HCP21_5798,2,568,+
HCP21_6346,2,82,+
HCP21_3297,2,388,+
HCP21_5680,68,364,+
HCP21_3271,2,475,+
HCP21_1_1_newblercontig04935,2,247,+
HCP21_1_1_newblercontig11124,38,160,-
HCP21_1_1_newblercontig13297,3,166,-
HCP21_2_5875,2,118,+
HCP21_2_7375,1,135,+
HCP21_2_20208,2,124,+
HCP21_2_22708,11,142,+
HCP21_2_24708,1,171,+
HCP21_2_26208,2,210,-
HCP21_2_30433,3,112,-
HCP21_2_38933,3,236,+
HCP21_2_41035,2,106,+
HCP21_2_47035,3,134,+
HCP21_2_52035,10,180,+
HCP21_2_53535,3,200,+
HCP21_2_54035,24,194,-
HCP21_2_64421,1,138,+
HCP21_2_67421,4,186,-
HCP21_2_77564,12,149,+
HCP21_2_78064,1,150,+
HCP21_2_78564,54,164,+
HCP21_2_81564,36,173,+
HCP21_2_83218,1,105,+
HCP21_2_85718,3,115,-
HCP21_2_86218,4,117,-
HCP21_2_87718,1,129,+
HCP21_2_91718,9,179,-
HCP21_2_96890,2,112,+
HCP21_2_101390,2,142,+
HCP21_2_103390,3,169,-
HCP21_2_105989,2,97,+
HCP21_2_109989,2,117,-
HCP21_2_128737,16,148,-
HCP21_2_129237,3,124,-
HCP21_2_131237,3,188,-
HCP21_2_138416,3,119,-
HCP21_2_138916,3,119,+
HCP21_2_147916,3,157,-
HCP21_2_148416,20,217,+
HCP21_2_154769,3,113,-
HCP21_2_157269,2,91,+
HCP21_2_157769,65,133,-
HCP21_2_158269,2,136,+
HCP21_2_161269,15,185,+
HCP21_2_162269,29,217,-
HCP21_10300,45,935,-
HCP21_5561,49,333,+
HCP21_855_,21,422,-
HCP21_7473,251,319,-
HCP21_3989,1,564,-
HCP21_4369,3,71,+
HCP21_4369,219,578,-
HCP21_5427,3,473,+
HCP21_9163,323,955,-
HCP21_1394,10,309,-
HCP21_8623,1,456,-
HCP21_670_,2,391,-
HCP21_5658,51,779,+
HCP21_6317,351,602,+
HCP21_863_,2,400,+
HCP21_2183,1,336,+
HCP21_4907,24,140,-
HCP21_4907,140,322,-
HCP21_4907,519,584,+
HCP21_1364,1,174,+
HCP21_5834,3,332,+
HCP21_2082,23,313,+
HCP21_7854,1,510,+
HCP21_80__,2,718,-
HCP21_80__,1157,2068,-
HCP21_6416,1,276,-
HCP21_5070,1,93,+
HCP21_5070,140,466,-
HCP21_8960,2,370,+
HCP21_8960,339,488,-
HCP21_3512,1,327,+
HCP21_2865,257,715,-
HCP21_94__,2,976,+
HCP21_94__,1126,3117,+
HCP21_9641,2,430,+
HCP21_6035,1,366,+
HCP21_3921,3,314,+
HCP21_8321,42,281,-
HCP21_1094,3,302,-
HCP21_8359,2,316,-
HCP21_5857,2,565,+
HCP21_7498,256,426,+
HCP21_7815,93,722,+
HCP21_1459,1,96,+
HCP21_1459,256,495,+
HCP21_5058,152,388,+
HCP21_2538,61,369,-
HCP21_6687,3,302,+
HCP21_3789,82,699,+
HCP21_2_1475,2,105,-
HCP21_2_8475,2,127,+
HCP21_2_9975,3,163,-
HCP21_2_18308,2,111,-
HCP21_2_23808,22,159,+
HCP21_2_26808,30,185,+
HCP21_2_30033,2,111,-
HCP21_2_32533,1,125,+
HCP21_2_33033,3,127,-
HCP21_2_34533,3,140,+
HCP21_2_45135,4,123,-
HCP21_2_51635,10,174,+
HCP21_2_53635,61,192,-
HCP21_2_59021,3,107,+
HCP21_2_63521,3,131,-
HCP21_2_64521,2,139,+
HCP21_2_67521,2,187,+
HCP21_2_71664,3,109,-
HCP21_2_75164,2,127,+
HCP21_2_79664,14,184,+
HCP21_2_85818,2,117,-
HCP21_2_89818,1,147,+
HCP21_2_91318,14,172,-
HCP21_2_102990,1,162,+
HCP21_2_115089,3,158,-
HCP21_2_119089,1,225,+
HCP21_2_121837,2,105,-
HCP21_2_128837,13,147,+
HCP21_2_131837,3,202,-
HCP21_2_132337,3,215,+
HCP21_2_139016,1,123,+
HCP21_2_140516,3,131,+
HCP21_2_151869,3,101,+
HCP21_2_152369,26,103,-
HCP21_2_153369,4,108,-
HCP21_2_161869,3,194,-
HCP21_2_162369,13,219,+
HCP21_2_162869,52,246,+
HCP21_8806,37,549,+
HCP21_600_,2,343,-
HCP21_3659,86,346,-
HCP21_2451,1,780,+
HCP21_62__,1,618,+
HCP21_62__,674,2128,-
HCP21_7237,1,360,+
HCP21_520_,38,361,-
HCP21_9975,2,409,-
HCP21_3202,1,321,+
HCP21_2772,277,447,+
HCP21_725_,3,314,+
HCP21_6076,59,541,+
HCP21_8429,1,666,-
HCP21_8477,1,318,+
HCP21_8477,348,467,+
HCP21_5538,1,477,-
HCP21_8079,77,628,-
HCP21_4975,1,1410,-
HCP21_5761,3,380,+
HCP21_8803,207,305,-
HCP21_7074,3,431,-
HCP21_8464,3,446,+
HCP21_6279,36,308,+
HCP21_2_27534,1,101,-
HCP21_9859,1,591,+
HCP21_4191,1,330,+
HCP21_9755,104,430,-
HCP21_4092,240,317,-
HCP21_2466,2,883,+
HCP21_9719,1,519,+
HCP21_9157,1,297,+
HCP21_10000,3,755,+
HCP21_8453,457,969,-
HCP21_8872,3,98,-
HCP21_8872,171,323,-
HCP21_8872,381,443,-
HCP21_4088,2,324,-
HCP21_8201,3,452,+
HCP21_995_,1,306,+
HCP21_9979,1,66,+
HCP21_9979,63,476,+
HCP21_2423,337,1095,-
HCP21_2423,1099,1686,-
HCP21_2423,2135,2377,-
HCP21_2423,2515,3093,-
HCP21_2340,3,347,+
HCP21_2469,2,844,+
HCP21_5279,55,834,-
HCP21_9267,3,1064,-
HCP21_7866,3,656,+
HCP21_2159,3,83,+
HCP21_2159,248,328,-
HCP21_4182,41,457,-
HCP21_2_24310,76,162,+
HCP21_10509,3,440,-
HCP21_7131,1,255,-
HCP21_1788,2,352,-
HCP21_6383,1,186,+
HCP21_6383,186,455,+
HCP21_3229,1,408,-
HCP21_9104,3,797,+
HCP21_9104,869,928,+
HCP21_4617,57,578,-
HCP21_2863,107,409,+
HCP21_2863,478,672,+
HCP21_6550,61,417,+
HCP21_1277,333,512,+
HCP21_4290,3,878,+
HCP21_5780,2,529,+
HCP21_7708,148,540,-
HCP21_7719,131,430,+
HCP21_6488,250,327,-
HCP21_3555,87,938,+
HCP21_3317,2,280,+
HCP21_9211,5,337,-
HCP21_7130,3,455,+
HCP21_8731,125,550,-
HCP21_6161,3,302,+
HCP21_2713,50,433,+
HCP21_2_8978,2,151,+
HCP21_2_81667,3,245,+
HCP21_2_87321,5,103,+
HCP21_2_89321,5,142,-
HCP21_2_90321,11,115,-
HCP21_8091,111,209,-
HCP21_8091,361,444,-
HCP21_336_,2,349,-
HCP21_1839,109,309,-
HCP21_8621,68,706,+
HCP21_9381,595,1044,-
HCP21_8257,3,371,+
HCP21_2642,3,356,+
HCP21_2668,64,453,+
HCP21_2396,329,1087,-
HCP21_2396,1091,1678,-
HCP21_2396,2127,2369,-
HCP21_2396,2507,3085,-
HCP21_4878,203,385,-
HCP21_3252,325,417,+
HCP21_8993,1,330,+
HCP21_837_,2,343,-
HCP21_1147,40,495,+
HCP21_663_,1,345,-
HCP21_720_,2,370,+
HCP21_1745,2,436,-
HCP21_8958,3,176,-
HCP21_7285,3,332,+
HCP21_7378,80,484,+
HCP21_7378,472,534,+
HCP21_3059,1,441,+
HCP21_5461,74,454,-
HCP21_2_72168,1,101,-
HCP21_7184,2,517,+
HCP21_457_,2,421,-
HCP21_457_,1125,1436,-
HCP21_6269,2,337,-
HCP21_3337,2,490,-
HCP21_6749,2,316,+
HCP21_5906,3,587,-
HCP21_2354,208,351,-
HCP21_568_,65,484,-
HCP21_356_,1,339,+
HCP21_7570,2,820,-
HCP21_5348,1,66,+
HCP21_10586,1,135,+
HCP21_10586,204,401,+
HCP21_9021,15,410,-
HCP21_9021,414,794,-
HCP21_8121,120,263,-
HCP21_4301,3,326,+
HCP21_4430,3,398,-
HCP21_2594,2,202,+
HCP21_6292,3,191,+
HCP21_7609,3,302,-
HCP21_4774,92,322,-
HCP21_8031,1,654,-
HCP21_10755,256,597,+
HCP21_2_153874,1,110,+
HCP21_4570,2,142,+
HCP21_4570,135,278,+
HCP21_6806,245,427,-
HCP21_9462,51,584,-
HCP21_5466,2,415,+
HCP21_8209,15,551,+
HCP21_7448,66,470,+
HCP21_7448,526,618,+
HCP21_5867,2,334,-
HCP21_8404,1,117,-
HCP21_5377,1,684,+
HCP21_10786,3,407,+
HCP21_5754,122,364,-
HCP21_2654,8,400,+
HCP21_6066,1,60,+
HCP21_7173,2,793,+
HCP21_5050,26,343,+
HCP21_3966,10,246,+
HCP21_10548,169,414,+
HCP21_7016,1,1272,-
HCP21_978_,9,326,+
HCP21_5243,35,364,+
HCP21_6034,36,251,+
HCP21_1_1_newblercontig08426,3,226,-
HCP21_1_1_newblercontig10137,3,173,+
HCP21_1_1_newblercontig16051,15,170,-
HCP21_2_1481,3,106,-
